video_id;views;likes;dislikes;comments
u7nX6_BI2tw;19799;522;16;83
RNpXhdppYW8;39684;511;23;63
QpCr5APPZB4;37586;729;21;115
hqNNEUbzhwc;5524;165;5;47
95ZVDLRT4II;18251;486;10;94
hFm7VshJZxM;8931;222;9;50
PwrpIzZyGsE;56803;745;40;87
JlTSUfyd7rI;6898;173;11;44
8FFx36VPoFA;7828;205;5;42
0-ZCc21ot_M;33432;796;33;135
JI3b-zXf7Ds;515615;3336;249;176
nUS5P-oTUc4;2221;69;2;17
ts96R_waqFY;32476;364;18;33
tDcVcslUnx8;15031;311;14;59
igR_UzaUlHw;29027;281;18;27
QwzhM8mSLto;15226;233;11;36
2NhZyfcsKks;10513;314;6;47
HagHAcE3VWc;2611;98;3;20
GaHe7jIzqy4;10511;275;10;46
sVl7n-isfjw;4094;141;3;46
IPc9L3lJ6Ns;29154;372;5;39
bebeP6X_htQ;5165;209;0;52
STdQCfiYixs;6937;191;5;43
dOa5VrHQz8g;7698;173;2;31
9vN9rRg3aBk;8517;293;6;53
o1J0vl9HliI;21508;452;8;43
G2i9r2OtGoQ;26409;557;19;101
8X1QKE4w8uA;15854;310;13;91
qQ--JPr1JyA;2184516;15475;1185;896
1W0dPu1gjnA;34481;635;15;65
tn8EiIocUI4;8515;244;8;41
VkLmpWRA2mg;30385;801;11;94
M64iBw-VA5o;16700;377;10;69
7cwAgRJPBxA;21942;370;6;69
Z4IiOQ1ytEY;16581;529;7;138
Mp9jcx1XonI;9413;244;10;31
eQC6LNzD4mw;25966;562;18;142
nHqEG-_O7bs;8743;319;9;69
ylepXks8Ti8;205966;1629;109;211
n3LQXLUW694;23362;347;16;59
OnJOkrHKXcY;123882;1486;75;194
e57NB_fNqUs;71101;957;40;140
J0zYPwD-TVg;31620;484;14;54
jImjVV_1rrc;15158;397;5;74
GF7CndRaMgo;3357;149;7;30
PiLlbTyffzU;24583;565;9;113
lY60ILtQ2pY;30525;773;14;98
sJLXtbreyX0;11977;373;1;55
Vr_t15m4tu0;9212;237;4;40
PbEVgkFsWOg;22141;365;11;74
Z4g7cJcO_po;9121;309;5;50
BWZ5qqWcKKI;8175;330;3;101
PHwlmlKlkC0;16796;258;10;39
5jCF7VsM9fg;3430;108;4;22
Yvu9QBJio5w;22509;442;12;79
FxURRUI-rGQ;5094;180;6;50
3r3lWi_T45g;11564;345;2;67
Lu28RFh4CQY;87920;906;24;121
